# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
832 0.389807509 0.396688767 -0.592778720 0.582495938 0.749173999 0.531257212 2.036313295 832 rgb_244.png

833 0.470069365 0.424252607 -0.518568332 0.574570625 2.039175987 0.799373627 1.902812600 833 rgb_291.png

834 0.656749416 0.631257913 -0.285884194 0.297428779 1.714746952 0.163808495 -0.323228031 834 rgb_436.png

835 0.741591906 0.520079276 0.243304118 -0.346932411 -1.281791568 -0.226443902 -0.238850370 835 rgb_607.png

836 0.256195325 0.271419699 0.674657271 -0.636814627 -1.779900551 0.078537606 2.026075363 836 rgb_760.png

837 0.227462733 0.299134822 -0.737663269 0.560920641 1.036862373 0.104076795 3.002829313 837 rgb_831.png

838 0.389807509 0.396688767 -0.592778720 0.582495938 0.749173999 0.531257212 2.036313295 83200 rgb_244_b.png

839 0.470069365 0.424252607 -0.518568332 0.574570625 2.039175987 0.799373627 1.902812600 83300 rgb_291_b.png

840 0.656749416 0.631257913 -0.285884194 0.297428779 1.714746952 0.163808495 -0.323228031 83400 rgb_436_b.png

841 0.741591906 0.520079276 0.243304118 -0.346932411 -1.281791568 -0.226443902 -0.238850370 83500 rgb_607_b.png

842 0.256195325 0.271419699 0.674657271 -0.636814627 -1.779900551 0.078537606 2.026075363 83600 rgb_760_b.png

843 0.227462733 0.299134822 -0.737663269 0.560920641 1.036862373 0.104076795 3.002829313 83700 rgb_831_b.png

