# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
0 0.33319435808011927 0.29843696613900816 0.5967189704244283 -0.6662157063000936 0.8340706825256348 0.32461705803871155 0.12757344543933868 0 0.png

1 0.34063652526785443 0.3005191248599411 0.5893740912497165 -0.668051789766653 0.8278517723083496 0.3042886257171631 0.152884379029274 1 1.png

2 0.34754867221201413 0.3023648829180434 0.5825694208349577 -0.6696254683997956 0.8211902976036072 0.28558069467544556 0.17584751546382904 2 2.png

3 0.35397301562983247 0.3040047073109849 0.5762589199113249 -0.6709768247572477 0.8142203688621521 0.2682913541793823 0.1964655965566635 3 3.png

4 0.35994781758517214 0.3054636102910885 0.5704005549029383 -0.6721404305426256 0.8070507645606995 0.2522481679916382 0.21475908160209656 4 4.png

5 0.3655076727303667 0.30676215700135 0.5649560530231965 -0.6731461790425329 0.7997690439224243 0.23730380833148956 0.23076191544532776 5 5.png

6 0.37068378927890033 0.3079172453291064 0.5598906389631008 -0.6740200077121312 0.7924447655677795 0.22333209216594696 0.24451813101768494 6 6.png

7 0.37550426606793325 0.3089426755660445 0.5551727703968892 -0.6747845318238409 0.7851321697235107 0.21022462844848633 0.25607937574386597 7 7.png

8 0.37999431852470866 0.30984968495041165 0.550773864862897 -0.6754595771836095 0.7778723239898682 0.19788801670074463 0.2655029594898224 8 8.png

9 0.38417663960299303 0.3106473382335854 0.5466679545365162 -0.6760626363840864 0.7706952095031738 0.18624138832092285 0.2728503942489624 9 9.png

10 0.3880715203810388 0.3113428318280384 0.5428315081693444 -0.6766092593787358 0.7636210918426514 0.17521436512470245 0.2781861424446106 10 10.png

11 0.39169714760231616 0.3119418175595986 0.5392430861150764 -0.6771133886543023 0.7566618323326111 0.16474536061286926 0.281576931476593 11 11.png

12 0.39506975190939003 0.312448489943244 0.5358831868947163 -0.6775876638944968 0.7498219609260559 0.15478003025054932 0.2830909788608551 12 12.png

13 0.3982037940259155 0.31286587117284886 0.5327340346763652 -0.6780436072820556 0.7430997490882874 0.14527013897895813 0.2827973961830139 13 13.png

14 0.4011120922875592 0.31319592608252556 0.5297793393750234 -0.6784918959555591 0.7364876866340637 0.13617239892482758 0.2807660400867462 14 14.png

15 0.40380602757638895 0.3134396054719782 0.5270041759472021 -0.6789424897211525 0.7299732565879822 0.12744764983654022 0.27706706523895264 15 15.png

16 0.40629557905383407 0.31359695224640194 0.5243947931596207 -0.6794048534490729 0.7235393524169922 0.11906006932258606 0.27177077531814575 16 16.png

17 0.40858945271654795 0.31366719141739563 0.5219385100896682 -0.679888037725692 0.7171649932861328 0.1109764501452446 0.26494747400283813 17 17.png

18 0.410695199727898 0.31364877812575326 0.5196235308577628 -0.6804008253078443 0.7108252644538879 0.10316572338342667 0.2566673755645752 18 18.png

19 0.412619223723597 0.3135393920049658 0.5174388883477528 -0.6809518505007052 0.704491913318634 0.09559839218854904 0.2470005601644516 19 19.png

20 0.41436686521402466 0.31333596508039024 0.5153743086561874 -0.6815497017657626 0.6981335282325745 0.08824614435434341 0.23601695895195007 20 20.png

21 0.4159424984515893 0.31303473110834984 0.5134200731011455 -0.6822029929856562 0.6917155981063843 0.08108142763376236 0.22378641366958618 21 21.png

22 0.4173495105837861 0.3126311635100499 0.5115669722749044 -0.6829204745029346 0.6852006912231445 0.07407715171575546 0.21037861704826355 22 22.png

23 0.418590257164631 0.312120034067484 0.5098062701887437 -0.6837110850474799 0.6785488724708557 0.06720634549856186 0.19586333632469177 23 23.png

24 0.4196662399367216 0.3114953696143488 0.5081294454340715 -0.6845840696722777 0.6717172265052795 0.06044194474816322 0.1803104132413864 24 24.png

25 0.4205779196762205 0.31075037918732634 0.5065283268520367 -0.6855490277232053 0.6646603345870972 0.05375650152564049 0.16378995776176453 25 25.png

26 0.4213248476721201 0.3098775487650641 0.5049948293989824 -0.6866159769374091 0.6573302149772644 0.04712199792265892 0.1463724970817566 26 26.png

27 0.4219055574427616 0.30886847683181945 0.5035210157733959 -0.687795428374624 0.6496762037277222 0.0405096560716629 0.128129243850708 27 27.png

28 0.42231755058261444 0.3077139327113696 0.5020989409358281 -0.6890984513088989 0.6416449546813965 0.0338897779583931 0.10913227498531342 28 28.png

29 0.42255723654214655 0.3064038376083668 0.5007205797639741 -0.6905367268621991 0.6331804990768433 0.0272316113114357 0.08945488929748535 29 29.png

30 0.42261983741651454 0.30492711741084466 0.4993777869025826 -0.6921226423386468 0.6242241263389587 0.020503252744674683 0.0691719651222229 30 30.png

31 0.4224993663460452 0.3032717513047772 0.49806218528643875 -0.6938692887608018 0.6147144436836243 0.01367159467190504 0.04836036264896393 31 31.png

32 0.4221884443718285 0.3014247797105083 0.4967651198700107 -0.6957905110706097 0.6045869588851929 0.00670231319963932 0.02709946222603321 32 32.png

